Locality,Latitude,Longitude,Signal Strength (dBm),Latency (ms),Network Type
Pataliputra,25.6055391057221,85.28565075860713,-87.61182988720711,164.10105369449622,LTE
Kidwaipuri,25.491973149373848,85.08666943884025,-90.08970364173224,22.85174471303003,5G
Danapur,25.6849722223115,84.98978479972482,-90.17539056667002,139.81200315308377,LTE
Kankarbagh,25.569868176100208,85.13871380121691,-93.38482593326395,113.90498139951669,LTE
Phulwari Sharif,25.62681096682912,85.1368227592346,-95.8887035415663,71.29144856931718,4G
Anandpuri,25.70641608928825,85.11042029713192,-85.21238631816813,115.25462176685268,3G
Pataliputra,25.57601068193442,85.0586187983803,-91.36176287748596,42.03490707413471,5G
Gandhi Maidan,25.63248118140532,85.12171621418372,-92.16787486006118,32.221002722508786,5G
Kidwaipuri,25.53429431409403,85.29553271738595,-94.26570531024488,178.22310663517675,LTE
Gardanibagh,25.67270594373143,85.03834493513504,-93.68743664145724,23.237918612618465,5G
Anandpuri,25.698175393187647,85.01325917310234,-86.08558494485756,157.643909590635,LTE
Bailey Road,25.685876451867248,85.25794786593157,-88.00199158049612,100.45132077459031,3G
Gandhi Maidan,25.601271035989903,85.07629117366449,-98.41665559592008,117.75896284575742,LTE
Kumhrar,25.5718080106303,85.0322971359786,-96.1662498132799,150.434232990827,LTE
Anandpuri,25.53885207730613,84.99270244492158,-90.05711533121175,99.3199928836087,4G
Gardanibagh,25.6093194268895,84.99264637021497,-92.91093213347716,48.684132376396654,5G
Rajendra Nagar,25.586741964148835,85.10921522376833,-97.06111501219664,97.78369300904,4G
Gardanibagh,25.58923453776817,85.19446503210331,-94.94789936347532,152.15826113786,LTE
Fraser Road,25.44672731190728,85.20422666752607,-95.80906717053284,134.8443825368665,LTE
Gandhi Maidan,25.64866655034257,85.20199985122018,-81.45230281881739,141.62627806879073,3G
Boring Road,25.564187484550235,85.18372810659199,-91.0393774549356,80.40183611441807,4G
Danapur,25.76280575503205,85.11248849133561,-83.43428548911075,64.35659185935717,4G
Kumhrar,25.665521997299884,85.06617314324882,-85.330091534107,199.3451441799313,3G
Ashok Rajpath,25.535573493107485,85.18548875118445,-86.3862014347301,147.0111912961173,LTE
Patliputra Colony,25.68954272504125,85.17607548440951,-105.67107444089274,24.89117662868497,5G
Kidwaipuri,25.543699384893134,85.19269510086258,-90.80377099481184,178.24232995004567,3G
Gandhi Maidan,25.60388351392617,85.20979739196162,-96.0772238175354,76.52019363975869,4G
Boring Road,25.729094210879552,85.18592029529204,-83.258634659184,132.39492498063822,3G
Ashok Rajpath,25.6568979253144,85.21073406651301,-79.57194933009148,108.82363300808208,3G
Kidwaipuri,25.68779174531832,85.18639190870294,-92.40849880313196,33.53404375398121,5G
Kidwaipuri,25.70956732297476,85.2670248062461,-91.47760722752304,79.33207794670417,4G
S.K. Puri,25.503468197479247,85.02066743695762,-86.25397442230411,145.61955477511137,LTE
Danapur,25.683563636970195,85.04713607929874,-90.37938417680516,26.02393641520706,5G
Phulwari Sharif,25.588420769761303,85.21378724518186,-85.41837158450879,81.48441484994768,4G
Pataliputra,25.507601333219775,85.03069326897416,-88.88709263122708,92.02076340715216,4G
Gardanibagh,25.70855210913078,85.01646097396049,-92.9990674943376,34.23795428625209,5G
Gardanibagh,25.6847631769222,85.2486721349125,-98.76001753428385,26.269622153644598,5G
Bailey Road,25.641836290715,85.06525742771929,-89.84398822916805,96.56390854425938,4G
Kankarbagh,25.57762774079374,85.172804903605,-89.1150210916914,135.4897683486554,3G
Kumhrar,25.70087786574827,85.04406214575376,-79.42941743463523,182.6943902822809,3G
Kidwaipuri,25.608621617941505,85.2615465638756,-91.05767535678233,23.19860291169002,5G
Gandhi Maidan,25.712940265435872,85.18591952900017,-87.90771456666974,161.84058024957693,LTE
S.K. Puri,25.553466332455884,85.15264145084534,-88.467731557176,145.476780285005,LTE
Kankarbagh,25.470237050023535,85.21763628654195,-93.67708520013107,92.25022461671855,4G
Kidwaipuri,25.592697620385746,85.0502822746378,-91.3669128749046,185.9231643260985,LTE
Boring Road,25.46189929670459,85.02022780744764,-90.87514796166784,109.74321626951009,LTE
Kumhrar,25.447602268152984,85.22983010523872,-84.49740285971242,115.2454402381434,3G
Bankipore,25.638675600227685,85.19316064366191,-85.0010207483339,11.652127015628402,5G
Gandhi Maidan,25.497731716740848,85.17552963917394,-90.01737156551938,146.5317249641546,LTE
Bailey Road,25.631108668229853,85.16418541778604,-88.66900740189122,59.25311884634156,4G
Patliputra Colony,25.461647723116837,85.02164657919445,-80.98185961912095,131.90480428236282,3G
Gardanibagh,25.58558965190069,84.95997499229006,-100.85974312268584,36.047705521761145,5G
Kumhrar,25.59982507688007,85.06324830982464,-85.17053548834535,159.4776214790835,LTE
Rajendra Nagar,25.457346940819708,85.24721343932178,-95.55808051191283,14.333645038593076,5G
Kankarbagh,25.476725156458844,85.13549665082387,-87.27819483624964,77.71179444402877,4G
Anandpuri,25.540187984596635,85.23862813040857,-92.53362357581044,15.886205287047805,5G
Ashok Rajpath,25.72775610916154,85.21900257764604,-92.53901396544704,110.45253810200995,LTE
Boring Canal Road,25.49607435640224,85.2040056638578,-89.96059668529975,97.09987912191556,4G
Gardanibagh,25.575335332045725,85.30993499842387,-84.88159141481074,91.33466955877068,4G
Boring Canal Road,25.535887846078257,85.27277056837826,-87.31717693840329,160.79660485407072,LTE
Kumhrar,25.48522699666017,85.14080206087925,-97.05815052689026,35.72853152565642,5G
Phulwari Sharif,25.74169767401977,85.15539634758113,-92.28710763443756,91.8462164954646,4G
Rajendra Nagar,25.688490023566136,85.11404935065029,-95.5183566775748,172.25765683902733,LTE
Rajendra Nagar,25.629764594289732,85.1070241913004,-87.7849718301101,131.7997579360757,3G
Exhibition Road,25.487312585210283,85.27809505219683,-85.40712212966955,192.94792452197063,3G
Kankarbagh,25.75957081062984,85.16329298984225,-88.92936723948726,32.85358790750663,5G
Bankipore,25.759720944689256,85.15556701294493,-83.25791353405779,110.25210669881145,3G
Bailey Road,25.5672772758299,85.06409039697027,-87.95173730736991,56.8822706493164,4G
Exhibition Road,25.6019809194892,85.19174608016853,-94.03037259623736,46.50228140463997,5G
Rajendra Nagar,25.446260690070325,85.16056656613632,-85.95570711355192,134.08834939408823,3G
Gardanibagh,25.55422542452825,85.07504426969597,-86.78114522211476,37.18643766826391,5G
