Locality,Latitude,Longitude,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type
Anisabad,25.599108619690096,85.1373547012626,-84.2741131853019,1.8638900372842315,129.1229140198042,3G
Fraser Road,25.43328558638305,85.07005347984405,-97.6531209786312,5.1322963842135945,54.8836057003192,4G
Boring Canal Road,25.498808887378964,85.21137139632043,-87.04613368001836,1.176985004103839,119.59828624191452,4G
Danapur,25.735138436088505,85.20839951838049,-94.14315859405016,68.59693229517501,46.59838702175123,5G
Phulwari Sharif,25.53855563806361,85.15985986968118,-94.56476465880914,38.2920382968694,30.342827646588116,5G
Bankipore,25.64070077605017,85.01413424146313,-91.19602940186348,1.7125956761539498,190.6828441545754,4G
Kidwaipuri,25.76633294901603,85.09619019919047,-85.6530919078429,4.036608509673799,99.88702425244708,4G
Phulwari Sharif,25.64010416273241,85.03386135616132,-85.98005247718947,2.670604991178476,132.0780064971736,4G
Gardanibagh,25.58570486294401,85.30570388131865,-96.84211831410012,2.9925073995158487,196.54193512887932,4G
Boring Road,25.564499466556125,85.08860676839367,-84.64306452431204,1.5678419494749314,130.53638603443935,3G
S.K. Puri,25.59368406294868,85.2809425399907,-90.30840683765642,9.244325886239793,81.55693129986315,4G
Pataliputra,25.729002214409054,85.12084335331343,-88.63539210073343,1.5888977841391714,138.50977286019253,4G
Fraser Road,25.55560935987601,85.26554176083795,-88.78220352051659,9.3926838678953,75.56711994304689,4G
Patliputra Colony,25.6246223024285,85.1448969715184,-88.97117003607957,5.12285860271256,76.85412135983277,4G
Rajendra Nagar,25.69898133859754,85.19394132395337,-79.6561267689209,1.1163871910168872,191.52137276264804,3G
Bailey Road,25.682170007824126,85.19489755037431,-98.3870783385738,13.665592208707311,44.21842336044029,5G
Gandhi Maidan,25.47077800813804,85.10644996892131,-85.60737257749466,2.1715511625469266,194.02302414249576,3G
Rajendra Nagar,25.65077154453368,85.14411688771419,-94.6955169644142,65.64284959041035,23.46216859554906,5G
S.K. Puri,25.47373673841433,85.07538847695022,-103.93835805965892,79.87716646677971,23.632141610120712,5G
Kidwaipuri,25.51604846078285,84.98010976892671,-94.88228041712742,2.1468757762465724,163.18372121697993,4G
Gardanibagh,25.704256619012845,85.01557056317992,-89.02013371556511,3.5093410445493545,91.0930029645178,4G
Anandpuri,25.69145718339524,85.07264033141844,-97.53471587685564,49.10066600394442,20.147286954925548,5G
Boring Canal Road,25.5350114290476,85.25785809890714,-89.10363007275834,1.1475931294707975,155.38542844013207,4G
Patliputra Colony,25.501702617560863,85.08400420109788,-89.94963039687282,1.7206901904105365,125.99498628542626,4G
Kumhrar,25.573278756804783,85.15804183478916,-83.97815424613492,1.7534779398758815,174.9578299976072,3G
